recipeName,batchYield,unit,ingredientName,qty,ingredientUnit,gramsMl,uom,vendor
FETA DIP/YOGHURT DIP - BASE RECIPE 84g yield,84.0,GRM,Natural Himalaya Pink Salt-500Gms Pouch (ONLY USING YOGURT),3.0,GM,3.0,GRM,FACTORY
GARLIC bread  1 loaf 18 pc each 13g,1.0,PCS,Garlic baguetta - 300 Gms,2.0,pc,2.0,PC,BELLA GRANADA
GARLIC bread  1 loaf 18 pc each 13g,1.0,PCS,GARLIC BUTTER 69g yield,10.0,GRM,10.0,GRM,PRE PREP
GARLIC BUTTER 69g yield,69.0,GRM,Amul butter salted ip 500g,50.0,GM,50.0,GRM,SAI FOODS
GARLIC BUTTER 69g yield,69.0,GRM,GARLIC,10.0,GM,10.0,GRM,AD VEGETABLES
GARLIC BUTTER 69g yield,69.0,GRM,Natural Himalaya Pink Salt-500Gms Pouch,1.0,GM,1.0,GRM,FACTORY
GARLIC BUTTER 69g yield,69.0,GRM,PARSLEY,1.0,GM,1.0,GRM,AD VEGETABLES
GARLIC BUTTER 69g yield,69.0,GRM,chef special OREGANO 100g,1.0,GM,1.0,GRM,DMART
GARLIC BUTTER 69g yield,69.0,GRM,THYME,0.125,TSP,0.5,GRM,AD VEGETABLES
GARLIC BUTTER 69g yield,69.0,GRM,GARLIC OIL,5.0,GM,5.0,GRM,AD VEGETABLES
GARLIC BUTTER 69g yield,69.0,GRM,Organic Black Pepper Whole-100Gms,0.125,TSP,0.5,GRM,FACTORY
GARLIC BUTTER 69g yield,69.0,GRM,Big Bell Red CHILLI FLAKES 1kg,0.125,TSP,0.5,GRM,SAI FOODS
GARLIC OIL (Output 320g),320.0,GRM,GARLIC,100.0,GM,100.0,GRM,AD VEGETABLES
GARLIC OIL (Output 320g),320.0,GRM,Organic Extra Virgin Olive Oil-1ltr,330.0,ml,330.0,ML,FACTORY
GHEE ROAST Masala 153g Yield,153.0,GRM,Organic Byadagi Chilly Whole-100Gms,20.0,PC,50.0,PC,FACTORY
GHEE ROAST Masala 153g Yield,153.0,GRM,Organic  Desi Ghee-500Ml,5.0,TBSP,60.0,GRM,FACTORY
GHEE ROAST Masala 153g Yield,153.0,GRM,Organic Coriander Powder-100Gms,1.0,TBSP,12.0,GRM,FACTORY
GHEE ROAST Masala 153g Yield,153.0,GRM,Natural Himalaya Pink Salt-500Gms Pouch,1.0,TSP,4.0,GRM,FACTORY
GHEE ROAST Masala 153g Yield,153.0,GRM,Organic Cumin Powder-100Gms,0.5,TSP,2.0,GRM,FACTORY
GHEE ROAST Masala 153g Yield,153.0,GRM,Organic Black Pepper Whole-100Gms,0.25,TSP,1.0,GRM,FACTORY
GHEE ROAST Masala 153g Yield,153.0,GRM,Organic Turmeric Powder-100Gms,0.125,TSP,0.5,GRM,FACTORY
GHEE ROAST Masala 153g Yield,153.0,GRM,knorr aromat seasoning powder Pdr 500g,1.0,TSP,4.0,GRM,SAI FOODS
GHEE ROAST Masala 153g Yield,153.0,GRM,GARLIC,1.0,TBSP,12.0,GRM,AD VEGETABLES
GHEE ROAST Masala 153g Yield,153.0,GRM,Organic Jaggery Powder-500gms,1.0,TSP,4.0,GRM,FACTORY
GHEE ROAST Masala 153g Yield,153.0,GRM,Organic Fennel Seeds-100Gms,1.0,TSP,4.0,GRM,FACTORY
GHEE ROAST Masala 153g Yield,153.0,GRM,CURRY LEAF,10.0,PC,10.0,PC,LOCAL
GHEE ROAST Masala 153g Yield,153.0,GRM,LEMON WEDGE,0.5,GRM,10.0,GRM,AD VEGETABLES
GHOONGI 320g yield,320.0,GRM,Organic Green Peas Dried-500Gms,80.0,GM,80.0,GRM,FACTORY
GHOONGI 320g yield,320.0,GRM,Organic Sunflower Oil-5 Ltr,2.0,TSP,8.0,GRM,FACTORY
GHOONGI 320g yield,320.0,GRM,Organic Cumin Whole-100Gms,1.0,TSP,4.0,GRM,FACTORY
GHOONGI 320g yield,320.0,GRM,LG compound Asafoetida powder (hing),0.25,TSP,1.0,GRM,SAI FOODS
GHOONGI 320g yield,320.0,GRM,GREEN CHILLI,1.0,TSP,4.0,GRM,AD VEGETABLES
GHOONGI 320g yield,320.0,GRM,GINGER,0.5,TSP,2.0,GRM,AD VEGETABLES
GHOONGI 320g yield,320.0,GRM,ONION,3.0,TBSP,36.0,GRM,AD VEGETABLES
GHOONGI 320g yield,320.0,GRM,Organic Byadagi Chilly Powder-100Gms,0.25,TSP,1.0,GRM,FACTORY
GHOONGI 320g yield,320.0,GRM,Organic Coriander Powder-100Gms,0.25,TSP,1.0,GRM,FACTORY
GHOONGI 320g yield,320.0,GRM,Organic Cumin Powder-100Gms,0.25,TBSB,0.25,GRM,FACTORY
GHOONGI 320g yield,320.0,GRM,Organic Besan Flour-1kg,4.0,TBSP,48.0,GRM,FACTORY
GHOONGI 320g yield,320.0,GRM,Organic  Desi Ghee-500Ml,1.0,TBSP,15.0,GRM,FACTORY
GHOONGI 320g yield,320.0,GRM,Natural Himalaya Pink Salt-500Gms Pouch,0.25,TSP,1.0,GRM,FACTORY
GHOONGI 320g yield,320.0,GRM,BLACK SALT powder 1kg,0.25,TSP,1.0,GRM,SAI FOODS
GHOONGI 320g yield,320.0,GRM,CORIANDER,10.0,GM,10.0,GRM,AD VEGETABLES
